marca_carro,cod_marca
Acura,1
Aston Martin,2
Audi,3
Austin,4
BMW,5
Bentley,6
Bugatti,7
Buick,8
Cadillac,9
Chevrolet,10
Chrysler,11
CitroÃ«n,12
Daewoo,13
Dodge,14
Eagle,15
Ferrari,16
Ford,17
GMC,18
Geo,19
Honda,20
Hummer,21
Hyundai,22
Infiniti,23
Isuzu,24
Jaguar,25
Jeep,26
Kia,27
Lamborghini,28
Land Rover,29
Lexus,30
Lincoln,31
Lotus,32
MINI,33
Maserati,34
Maybach,35
Mazda,36
Mercedes-Benz,37
Mercury,38
Mitsubishi,39
Nissan,40
Oldsmobile,41
Plymouth,42
Pontiac,43
Porsche,44
Rolls-Royce,45
Saab,46
Saturn,47
Scion,48
Shelby,49
Spyker,50
Studebaker,51
Subaru,52
Suzuki,53
Toyota,54
Volkswagen,55
Volvo,56
